,Name,Total
2632,R. Assalé,262.0
2633,M. Miazga,187.0
2634,Léo Bonatini,208.0
2635,B. Fernández,245.0
2636,S. Hutchinson,178.0
2637,S. Rybalka,183.0
2638,N. Acevedo,210.0
2639,J. Lucero,240.0
2640,G. Chakvetadze,237.0
2641,I. Fossum,220.0
2642,V. Karavaev,216.0
2643,T. Leibold,242.0
2644,G. Arias,133.0
2645,T. Huddlestone,139.0
2646,A. Clayton,204.0
2647,K. Nakamura,196.0
2648,L. Koné,170.0
2649,M. Vejinović,176.0
2650,H. Van Crombrugge,147.0
2651,M. Russ,135.0
2652,Pietrson Mendes,228.0
2653,Salvi Sánchez,224.0
2654,E. Pavez,225.0
2655,I. Kovács,240.0
2656,Nildo Petrolina,236.0
2657,Y. Seleznyov,194.0
2658,C. Löwe,221.0
2659,V. Cantillo,200.0
2660,J. Ward,190.0
2661,S. Skrzybski,238.0
2662,Diego Oliveira,200.0
2663,Luis Milla,226.0
2664,A. Ba,149.0
2665,Jaim Abra,163.0
2666,S. von Bergen,191.0
2667,S. Armenteros,210.0
2668,Y. Öztekin,231.0
2669,J. Molina,211.0
2670,R. Gikiewicz,132.0
2671,G. Silva,203.0
2672,W. Hoolahan,196.0
2673,Freder Cabral,152.0
2674,J. Gómez,223.0
2675,Rodrigo Galo,216.0
2676,R. Fredericks,237.0
2677,M. Ishak,197.0
2678,N. Gießelmann,214.0
2679,Luis Couprins,221.0
2680,F. Kudryashov,219.0
2681,S. Zoller,222.0
2682,D. Brooks,230.0
2683,M. Hawsawi,204.0
2684,M. Bolaños,231.0
2685,J. St. Juste,229.0
2686,João Aurélio,207.0
2687,J. Marié,209.0
2688,R. Benzar,221.0
2689,G. Sertic,204.0
2690,R. Philippoteaux,228.0
2691,Gerson,214.0
2692,B. Assombalonga,216.0
2693,J. Šural,204.0
2694,Gerso,257.0
2695,M. Urruti,225.0
2696,D. Ciofani,163.0
2697,Etxeita,180.0
2698,L. Ayling,214.0
2699,K. Saief,222.0
2700,S. Thioub,226.0
2701,D. Bronn,199.0
2702,J. Basanta,170.0
2703,Diego Farías,248.0
2704,L. Rodríguez,232.0
2705,Marcos Paneira,189.0
2706,Cifuentes,140.0
2707,K. Bartley,161.0
2708,K. Monnet-Paquet,225.0
2709,G. Cameron,187.0
2710,R. Yabo,234.0
2711,A. Najar,233.0
2712,B. Ramselaar,234.0
2713,T. Ciğerci,198.0
2714,O. Pérez,183.0
2715,F. Mattiello,219.0
2716,V. Forren,153.0
2717,F. Diedhiou,177.0
2718,K. Darlow,187.0
2719,F. Novák,225.0
2720,P. Martinez,202.0
2721,M. Santos,220.0
2722,J. Kopic,221.0
2723,N. Al Abed,224.0
2724,C. Keşerü,208.0
2725,Ferrán Torres,207.0
2726,S. Kapino,167.0
2727,O. Opazo,238.0
2728,André Geraldes,214.0
2729,Juli Piresinho,191.0
2730,J. Schlupp,232.0
2731,Vinicius Cardenha,211.0
2732,B. Lozano,215.0
2733,P. Hrošovský,197.0
2734,Gabriel Silva,224.0
2735,O. Sorg,222.0
2736,B. Johnsen,213.0
2737,M. Yanga-Mbiwa,199.0
2738,M. Britos,239.0
2739,R. Hennings,202.0
2740,J. Bamba,229.0
2741,Ivo Rodrigues,244.0
2742,E. Audero,159.0
2743,A. Maier,215.0
2744,F. Tissone,191.0
2745,M. Dituro,127.0
2746,G. Bia,227.0
2747,B. Alıcı,222.0
2748,G. Bussmann,202.0
2749,C. Buchtmann,224.0
2750,J. Al Hussien,198.0
2751,G. Poblete,206.0
2752,M. Niakhaté,204.0
2753,T. Minamino,249.0
2754,N. Benedetti,216.0
2755,Y. Sanogo,193.0
2756,E. Álvarez,215.0
2757,S. Sunzu,170.0
2758,M. Kanazaki,230.0
2759,Paulinho,232.0
2760,L. Bustamante,220.0
2761,E. Schelotto,208.0
2762,Ignasi Miquel,186.0
2763,Álex Gallar,210.0
2764,Orlando Sá,193.0
2765,T. Ince,234.0
2766,Víctor Rodríguez,227.0
2767,L. Baal,204.0
2768,Élton,230.0
2769,A. Ounas,238.0
2770,H. Afful,231.0
2771,C. Clemens,226.0
2772,F. Amorebieta,130.0
2773,J. O'Connell,177.0
2774,F. Dionisi,217.0
2775,H. Harbaoui,191.0
2776,M. Nervo,189.0
2777,J. Djourou,191.0
2778,P. Karlsson,200.0
2779,M. Rangel,197.0
2780,S. Pérez,204.0
2781,F. Manríquez,191.0
2782,Abraham González,202.0
2783,Ailton Valpaços,202.0
2784,J. Koundé,208.0
2785,T. Xhaka,209.0
2786,E. Mena,221.0
2787,W. Janssen,176.0
2788,Douglas Armeira,209.0
2789,M. Demiral,180.0
2790,D. Vera,204.0
2791,M. Kamiński,191.0
2792,S. Cárdenas,230.0
2793,K. Phillips,201.0
2794,M. Rensing,157.0
2795,Y. Mokhtar,230.0
2796,B. Dejaegere,246.0
2797,R. Orsolini,221.0
2798,S. de Jong,181.0
2799,J. Riedewald,199.0
2800,C. Yacob,176.0
2801,Yan Junling,156.0
2802,Miguel Veloso,198.0
2803,B. Zuculini,205.0
2804,J. Moreira,226.0
2805,B. Hamid,142.0
2806,V. Qazaishvili,216.0
2807,G. Toledo,236.0
2808,E. Barreto,202.0
2809,N. Bungert,169.0
2810,C. Montes,198.0
2811,J. Poulsen,190.0
2812,A. Grünwald,198.0
2813,S. Clucas,202.0
2814,J. Bořil,222.0
2815,J. Lewis,181.0
2816,D. Nagbe,248.0
2817,J. Gandolfi,189.0
2818,Fabiano,153.0
2819,J. Mišić,206.0
2820,J. Gélin,193.0
2821,S. Bertoli,131.0
2822,Xeka,183.0
2823,M. Rosenberg,207.0
2824,Raul García,213.0
2825,G. Caprari,248.0
2826,Diego Lopes,228.0
2827,M. Banguera,137.0
2828,O. Gonzalez,149.0
2829,Costinha,257.0
2830,E. Palacios,227.0
2831,Sergio Tejera,209.0
2832,Pedro Rocha,235.0
2833,K. Long,181.0
2834,M. Stekelenburg,132.0
2835,Samir,182.0
2836,Carlos Hernández,167.0
2837,L. Martínez Quarta,211.0
2838,F. Barba,204.0
2839,T. Elyounoussi,246.0
2840,T. Krul,161.0
2841,R. Morioka,206.0
2842,J. Valdés,202.0
2843,Bruno Xadas,226.0
2844,A. Büttner,214.0
2845,C. Akolo,246.0
2846,Cristiano,221.0
2847,K. Möhwald,211.0
2848,A. Rodríguez,204.0
2849,J. Góralski,218.0
2850,S. Larsson,197.0
2851,D. Ndongala,252.0
2852,S. Carson,142.0
2853,M. Matip,205.0
2854,A. Ulmer,217.0
2855,J. Pied,215.0
2856,M. van der Hoorn,128.0
2857,M. Gavranović,236.0
2858,J. Stryger Larsen,222.0
2859,G. Torje,243.0
2860,C. Mayada,236.0
2861,M. Pérez,214.0
2862,S. Arfield,207.0
2863,S. Ribas,207.0
2864,A. Christiansen,224.0
2865,F. Aguilar,150.0
2866,O. Veigneau,214.0
2867,Gus Outomouro,230.0
2868,R. Czichos,190.0
2869,Y. Atal,234.0
2870,C. Doukouré,214.0
2871,F. Sambueza,233.0
2872,Juliano Mascarinhas,198.0
2873,F. Rinaudo,218.0
2874,S. Schrijvers,228.0
2875,J. Ikoné,255.0
2876,A. Smithies,157.0
2877,T. Ream,199.0
2878,A. Maxim,234.0
2879,N. Navarro,179.0
2880,A. Rispoli,227.0
2881,I. Baldé,202.0
2882,Miguel Vieira,171.0
2883,L. Freeman,229.0
2884,G. Hooper,200.0
2885,R. Emond,202.0
2886,E. Terranova,199.0
2887,S. Dewaest,145.0
2888,Nélson Oliveira,198.0
2889,A. Losilla,197.0
2890,F. Meza,193.0
2891,C. Mathenia,151.0
2892,O. Ntcham,211.0
2893,M. Knoll,217.0
2894,A. Bakasetas,198.0
2895,M. Barrios,258.0
2896,S. Salcedo,195.0
2897,Perdigão,218.0
2898,Galeno,235.0
2899,Bóveda,203.0
2900,Marc Mateu,199.0
2901,G. Saville,210.0
2902,R. Christie,226.0
2903,P. Foden,232.0
2904,T. Foket,225.0
2905,P. Schiattarella,224.0
2906,F. Sørensen,173.0
2907,D. Ward,154.0
2908,L. Diony,214.0
2909,R. Krunić,213.0
2910,Riesgo,169.0
2911,J. Howson,206.0
2912,J. Van Damme,176.0
2913,M. Martins,198.0
2914,W. Faríñez,178.0
2915,B. Dibassy,212.0
2916,T. Reginiussen,200.0
2917,G. Rivas,182.0
2918,Benjamin Meseira,220.0
2919,C. Ninga,231.0
2920,M. Suttner,215.0
2921,G. van der Wiel,221.0
2922,W. González,205.0
2923,T. Hořava,208.0
2924,P. Tachtsidis,155.0
2925,W. Saïd,235.0
2926,E. Cerutti,248.0
2927,Gustavo Lobateiro,232.0
2928,Pere Milla,224.0
2929,J. Johansson,177.0
2930,T. Murg,248.0
2931,J. Ramírez,219.0
2932,F. Vicari,150.0
2933,K. Adams Nuhu,203.0
2934,P. Nardi,158.0
2935,H. Magnússon,180.0
2936,O. Edouard,226.0
2937,D. Rice,172.0
2938,Evandro Rochedo,194.0
2939,K. Westwood,173.0
2940,Bracali,172.0
2941,M. Sperduti,230.0
2942,Y. Gómez Andrade,143.0
2943,G. Peruzzi,223.0
2944,Toni Villa,230.0
2945,Y. Gordillo,212.0
2946,Ricardo,220.0
2947,B. Sanneh,199.0
2948,Michel Cruceiro,183.0
2949,L. Burián,181.0
2950,M. Tekdemir,207.0
2951,K. Lamprou,170.0
2952,I. Mbaye,209.0
2953,A. Browne,220.0
2954,G. Pazzini,204.0
2955,Eduardo,200.0
2956,C. Santos,205.0
2957,E. Mendy,146.0
2958,M. Ngadeu-Ngadjui,198.0
2959,L. Mazzitelli,198.0
2960,J. Lolley,245.0
2961,A. Traoré,234.0
2962,V. Stocker,215.0
2963,D. Alar,227.0
2964,J. Añor,206.0
2965,A. Donis,240.0
2966,M. Gazzola,221.0
2967,F. Diagne,199.0
2968,S. Schaars,165.0
2969,M. Poundjé,219.0
2970,F. Hinestroza,236.0
2971,A. Hahn,208.0
2972,V. Shepelev,192.0
2973,M. Leitner,225.0
2974,R. Skov,224.0
2975,B. Guzan,143.0
2976,M. Mitrović,172.0
2977,A. Luthe,140.0
2978,A. Traoré,238.0
2979,N. Uysal,202.0
2980,G. Donati,207.0
2981,A. Ujah,210.0
2982,A. Kravets,185.0
2983,Z. Tomašević,169.0
2984,M. Borjan,155.0
2985,S. Lukić,206.0
2986,C. Goldson,193.0
2987,Rubén Alcaraz,189.0
2988,L. Ulloa,164.0
2989,Iván López,221.0
2990,S. Amrabat,204.0
2991,M. Wöber,204.0
2992,F. Lucioni,192.0
2993,Calero,208.0
2994,C. Marrugo,210.0
2995,J. Forlín,194.0
2996,L. Janson,233.0
2997,B. Bolingoli,246.0
2998,Thiago Santana,206.0
2999,K. Rausch,227.0
3000,N. Etheridge,179.0
3001,Aitor Sanz,207.0
3002,Frederico Venâncio,196.0
3003,M. Grujić,187.0
3004,M. Langerak,168.0
3005,H. Manzala,227.0
3006,Paulinho,230.0
3007,W. Troost-Ekong,166.0
3008,D. Fagundez,237.0
3009,U. Demirok,170.0
3010,R. Kruse,229.0
3011,T. Matlaba,234.0
3012,G. Banguera,152.0
3013,A. Özbiliz,223.0
3014,S. Al Dawsari,232.0
3015,I. Success,209.0
3016,A. Long,212.0
3017,M. Škoda,174.0
3018,A. Diakhaby,237.0
3019,D. Kadah,204.0
3020,A. Ríos,197.0
3021,J. Mateta,202.0
3022,F. Cacciatore,214.0
3023,R. van Rhijn,222.0
3024,R. Pérez,167.0
3025,A. Baumjohann,213.0
3026,R. Elm,200.0
3027,H. Kaldırım,212.0
3028,F. Monetti,170.0
3029,K. Nababkin,200.0
3030,S. Williams,196.0
3031,M. Stępiński,219.0
3032,M. Pazdan,189.0
3033,T. Al Jassam,221.0
3034,M. Heller,246.0
3035,V. Pajot,211.0
3036,Y. Asad,233.0
3037,Y. Banana,144.0
3038,W. Montillo,201.0
3039,L. Waldschmidt,226.0
3040,Y. Makarenko,203.0
3041,J. Mæhle,220.0
3042,A. Reach,221.0
3043,Y. Ayhan,135.0
3044,N. Skubic,212.0
3045,Frédéric Mendy,191.0
3046,D. Pizarro,175.0
3047,Pierrino Faria,141.0
3048,Adrián González,208.0
3049,F. Tobio,172.0
3050,R. Sigurðsson,186.0
3051,K. Reichel,206.0
3052,Nivo Serpinho,185.0
3053,M. Wagué,164.0
3054,M. Klich,200.0
3055,A. Abdennour,179.0
3056,B. Wood,226.0
3057,Álex Pérez,141.0
3058,G. Cano,211.0
3059,I. Arboleda,184.0
3060,A. Domínguez,141.0
3061,O. Kragl,212.0
3062,José Rodríguez,214.0
3063,F. Pardo,223.0
3064,R. Doan,234.0
3065,O. Hiljemark,205.0
3066,J. McGinn,217.0
3067,V. Vada,209.0
3068,R. Halliche,167.0
3069,L. Marrone,177.0
3070,G. Cimirot,215.0
3071,K. Wilczek,203.0
3072,João Amaral,242.0
3073,R. Bengtsson,167.0
3074,E. Johansson,168.0
3075,Hélder Lopes,203.0
3076,Serginho,197.0
3077,M. Linnes,236.0
3078,S. Tibbling,231.0
3079,S. Simič,162.0
3080,W. Trapp,201.0
3081,N. Radonjić,244.0
3082,M. Sau,260.0
3083,J. Schieber,175.0
3084,Botía,173.0
3085,W. Kanon,188.0
3086,Amilton,245.0
3087,J. Ito,221.0
3088,Edgar Badía,139.0
3089,N. Penneteau,125.0
3090,V. Lazaro,237.0
3091,V. Wormgoor,137.0
3092,A. Hunou,221.0
3093,L. Gamba,246.0
3094,Kim Seung Joon,234.0
3095,R. Krhin,161.0
3096,J. Herrera,163.0
3097,B. Stancu,217.0
3098,A. Tashaev,206.0
3099,M. Frantz,205.0
3100,R. Bezus,205.0
3101,Shin Hwa Yong,185.0
3102,R. Genevois,184.0
3103,M. Degenek,229.0
3104,Oswaldito Cuba,250.0
3105,C. Rigamonti,149.0
3106,Wallace,147.0
3107,J. Kovařík,206.0
3108,Douglas Luiz,219.0
3109,V. Torosidis,200.0
3110,N. Isimat-Mirin,178.0
3111,Rúben Ferreira,211.0
3112,L. Gil,201.0
3113,P. Diop,218.0
3114,Z. Machach,209.0
3115,M. Bettinelli,132.0
3116,A. Peñaranda,225.0
3117,K. Frei,246.0
3118,Sergi Samper,181.0
3119,R. Lod,210.0
3120,H. Saivet,221.0
3121,A. Regattin,232.0
3122,Mauro Cildinho,230.0
3123,J. Ikoko,219.0
3124,P. Chavarría,212.0
3125,R. Bennett,134.0
3126,K. Hansen,210.0
3127,S. Gürler,232.0
3128,D. Dainelli,130.0
3129,M. Mantovani,155.0
3130,A. Zeneli,240.0
3131,João Carvalho,235.0
3132,N. Barazite,216.0
3133,M. Aguirregaray,214.0
3134,A. Ricaurte,217.0
3135,D. Randolph,164.0
3136,Omar Ramos,227.0
3137,D. Jensen,159.0
3138,J. Duque,214.0
3139,E. Reynoso,228.0
3140,J. Elez,185.0
3141,J. Gutiérrez,199.0
3142,M. Leye,199.0
3143,K. Naughton,214.0
3144,Caio Secco,174.0
3145,B. Bianchi,183.0
3146,E. Barco,242.0
3147,T. Leistner,175.0
3148,R. Kishna,218.0
3149,F. Bachirou,245.0
3150,K. Rezaei,198.0
3151,D. Vukovic,166.0
3152,R. Nouri,236.0
3153,J. Gómez,246.0
3154,Y. Gouffran,231.0
3155,Manu García,230.0
3156,I. Köybaşı,225.0
3157,Juan Villar,248.0
3158,Y. Namli,232.0
3159,G. Blanco,191.0
3160,A. Ramos,219.0
3161,M. Jedinák,166.0
3162,M. Rybus,224.0
3163,J. Barroso,206.0
3164,A. Cohen,218.0
3165,B. Raman,250.0
3166,A. McGeady,236.0
3167,B. Reid,246.0
3168,Hervías,233.0
3169,L. Pocrnjic,142.0
3170,S. Ingason,194.0
3171,T. Heurtaux,192.0
3172,G. Wikheim,249.0
3173,Valdivia,218.0
3174,S. Cáseres,207.0
3175,A. Gunnarsson,200.0
3176,L. Hinterseer,200.0
3177,S. Peeters,186.0
3178,U. Agbo,188.0
3179,D. Luckassen,212.0
3180,M. Terrier,227.0
3181,Marcos Guilherme,232.0
3182,T. Parker,203.0
3183,A. Lookman,237.0
3184,P. Mouche,229.0
3185,A. Rosina,239.0
3186,B. Bannan,229.0
3187,Édundo Oliveira,180.0
3188,Guilherme,247.0
3189,A. Solari,249.0
3190,H. Barnes,220.0
3191,V. Coufal,216.0
3192,S. Di Carmine,219.0
3193,C. Roldan,218.0
3194,F. Lemoine,194.0
3195,Djalma,225.0
3196,D. Lukebakio,227.0
3197,Y. Benalouane,170.0
3198,L. Pisculichi,205.0
3199,Edinho,186.0
3200,Paolito Serra,137.0
3201,J. Fleck,226.0
3202,L. Rosić,155.0
3203,F. Soldano,209.0
3204,A. Hansen,161.0
3205,V. García,230.0
3206,F. Sánchez,246.0
3207,C. Carmona,207.0
3208,B. Sigurðarson,235.0
3209,Y. Yotún,221.0
3210,G. Zardes,228.0
3211,J. Ménez,203.0
3212,S. Prediger,207.0
3213,A. Webster,192.0
3214,I. Damonte,208.0
3215,A. Dioussé,220.0
3216,Laure,218.0
3217,N. Karelis,219.0
3218,Vesga,169.0
3219,V. Jovanović,175.0
3220,J. Filipović,190.0
3221,J. Cuevas,224.0
3222,Rober Ibáñez,223.0
3223,J. Zmrhal,211.0
3224,J. Murphy,219.0
3225,D. Siovas,147.0
3226,J. Pohjanpalo,213.0
3227,R. Pierre-Gabriel,218.0
3228,H. Droguett,224.0
3229,B. Corgnet,187.0
3230,A. Benali,248.0
3231,V. Ibarbo,235.0
3232,F. Boulaya,218.0
3233,A. Blin,193.0
3234,H. Aleesami,228.0
3235,J. Kenny,209.0
3236,D. Livaković,124.0
3237,R. Koolwijk,163.0
3238,B. Parker,224.0
3239,K. Omeruo,204.0
3240,G. Letizia,244.0
3241,D. Dessoleil,179.0
3242,C. Nørgaard,199.0
3243,Manu Del Moral,202.0
3244,A. Cordaz,125.0
3245,J. Correa,224.0
3246,M. Morishige,190.0
3247,Bruno Tabata,234.0
3248,I. Mboyo,202.0
3249,P. Kasami,191.0
3250,S. Montoya,224.0
3251,T. Aoyama,198.0
3252,João Félix,231.0
3253,H. Diallo,204.0
3254,Bruno Lamas,195.0
3255,P. Gerkens,198.0
3256,G. Di Lorenzo,209.0
3257,S. Sam,232.0
3258,B. Kayal,206.0
3259,Wellington Nem,231.0
3260,A. Johansson,159.0
3261,Jon Bautista,192.0
3262,E. Mulder,142.0
3263,Isaías,201.0
3264,D. Bessa,228.0
3265,K. Karaman,216.0
3266,A. Malarz,121.0
3267,C. Carbonero,213.0
3268,Naranjo,219.0
3269,J. Ruddy,134.0
3270,T. Barnetta,194.0
3271,A. Jóhannsson,210.0
3272,M. Murillo,228.0
3273,Patric,199.0
3274,O. El Hajjam,207.0
3275,M. Lehmann,166.0
3276,F. Ceccherini,189.0
3277,N. Aguirre,213.0
3278,R. Bauer,209.0
3279,Otávinho Vila,201.0
3280,A. Mendy,199.0
3281,D. Malen,243.0
3282,V. Granat,187.0
3283,P. Aránguiz,212.0
3284,Sandelas Júnior,193.0
3285,O. Hawsawi,195.0
3286,F. Silva,175.0
3287,B. Carrasco,237.0
3288,J. Schunke,134.0
3289,S. Ujkani,172.0
3290,G. Castellani,207.0
3291,L. Jiménez,200.0
3292,Dener,208.0
3293,M. Flekken,126.0
3294,Pedro Nuno,217.0
3295,D. Kamada,229.0
3296,N. Bendtner,196.0
3297,Lee Chang Min,203.0
3298,João Pedro,226.0
3299,M. Bakakis,226.0
3300,Zeng Cheng,133.0
3301,M. James,193.0
3302,G. Vural,231.0
3303,M. Pérez,222.0
3304,T. Chery,223.0
3305,D. Milićević,205.0
3306,G. McAuley,131.0
3307,M. Barrow,255.0
3308,A. Scholz,178.0
3309,Timo Triano,175.0
3310,A. Elmohamady,220.0
3311,Lucas Piazon,212.0
3312,C. Baeza,212.0
3313,Kim Min Jae,206.0
3314,Fábio Pacheco,206.0
3315,A. Maher,222.0
3316,J. Akpa Akpro,225.0
3317,M. Frey,187.0
3318,S. Vittor,179.0
3319,Romarinho,243.0
3320,B. Srarfi,218.0
3321,D. Khocholava,176.0
3322,C. Puggioni,176.0
3323,T. Necid,194.0
3324,T. Lees,186.0
3325,L. Castro,199.0
3326,P. Cissé,175.0
3327,Pimentiscinho,206.0
3328,E. Stevens,209.0
3329,Aitor,192.0
3330,I. Hayden,179.0
3331,R. Strieder,202.0
3332,R. Noir,231.0
3333,Juankar,226.0
3334,Brandon Thomas,236.0
3335,J. Bijlow,145.0
3336,H. Wilson,228.0
3337,A. González,236.0
3338,C. Jean,244.0
3339,T. Adams,233.0
3340,O. Zahustel,224.0
3341,Casadesús,194.0
3342,T. Moulin,211.0
3343,D. Riascos,222.0
3344,B. Osborn,238.0
3345,Vieiraldo Junior,197.0
3346,P. Billing,177.0
3347,E. Ponce,225.0
3348,Enzo Merques,220.0
3349,Rômulo Calsede,211.0
3350,Marlion Simões,234.0
3351,Jota,215.0
3352,Pedro Tiba,200.0
3353,M. Torsiglieri,135.0
3354,D. Maietta,131.0
3355,E. Özgenç,198.0
3356,D. Buitrago,208.0
3357,C. Peralta,208.0
3358,A. Walke,150.0
3359,R. Thelander,170.0
3360,E. Unsain,167.0
3361,Jorge Pombo,198.0
3362,Porphirinho,221.0
3363,L. Cabrera,187.0
3364,G. Núñez,220.0
3365,E. Berggreen,175.0
3366,E. Lamanna,137.0
3367,K. Kusk,222.0
3368,R. Espinoza,212.0
3369,J. Bahebeck,218.0
3370,C. Marshall,140.0
3371,Z. Ferhat,220.0
3372,M. Pack,183.0
3373,P. Lasogga,162.0
3374,D. Verde,238.0
3375,Alessinito,201.0
3376,J. Nsame,202.0
3377,A. Fransson,224.0
3378,J. Babin,133.0
3379,L. Suárez,226.0
3380,R. Shotton,192.0
3381,Rafa Soares,221.0
3382,J. Galván,191.0
3383,V. Belec,175.0
3384,T. Lawrence,220.0
3385,M. Sobottka,204.0
3386,A. Farías,183.0
3387,F. Gaibor,207.0
3388,Rafael Leão,234.0
3389,Fernandinho,244.0
3390,P. Crouch,154.0
3391,S. Adegbenro,246.0
3392,E. Martínez,172.0
3393,Roberto Torres,208.0
3394,N. De la Cruz,227.0
3395,Rúben Micael,209.0
3396,S. Koroki,223.0
3397,C. Medjani,174.0
3398,M. Makola,214.0
3399,D. Sinkgraven,231.0
3400,F. Romagna,198.0
3401,Kiko Olivas,160.0
3402,I. Balliu,218.0
3403,T. Pledl,237.0
3404,Leordinho Paes,204.0
3405,A. Tuanzebe,215.0
3406,R. Wolf,145.0
3407,L. Abecasis,240.0
3408,P. Kunde Malong,215.0
3409,Y. Orozco,241.0
3410,A. Bouzat,233.0
3411,L. Mothiba,201.0
3412,A. Rojas,201.0
3413,R. Walter,211.0
3414,S. Gakpé,238.0
3415,Joselu,212.0
3416,Angulo,223.0
3417,Ricardo Valente,217.0
3418,M. Kean,218.0
3419,S. Dioudis,154.0
3420,S. Pellissier,164.0
3421,B. Afobe,213.0
3422,C. Gytkjær,215.0
3423,Kim Jin Su,223.0
3424,A. Cerri,174.0
3425,F. Hübner,175.0
3426,R. Strebinger,139.0
3427,A. Çalık,187.0
3428,J. Ledley,185.0
3429,A. Mobara,214.0
3430,V. Găman,189.0
3431,Hao Junmin,218.0
3432,L. Aued,188.0
3433,C. Molinaro,202.0
3434,S. Medina,216.0
3435,K. Diks,211.0
3436,A. Büyük,228.0
3437,Guitián,195.0
3438,C. Christie,222.0
3439,R. Žulj,178.0
3440,João Afonso,162.0
3441,S. Decarli,188.0
3442,R. McCormack,211.0
3443,B. Trawally,229.0
3444,R. Danzé,198.0
3445,Hwang Hee Chan,252.0
3446,S. Coopman,206.0
3447,S. Perica,196.0
3448,A. Mena,241.0
3449,Rubén García,238.0
3450,Jairinhazo,224.0
3451,Diogo Dalot,218.0
3452,Pedro Sánchez,224.0
3453,P. Arajuuri,138.0
3454,Álex Fernández,197.0
3455,Jessé Ledeiro,208.0
3456,T. Torun,219.0
3457,J. Windass,242.0
3458,T. Romanczuk,210.0
3459,K. Pedersen,192.0
3460,L. Carole,216.0
3461,F. Al Muwallad,240.0
3462,S. van de Streek,212.0
3463,Renato Santos,228.0
3464,Àngel Rangel,194.0
3465,L. Reyes,219.0
3466,K. Letica,128.0
3467,C. Brunt,188.0
3468,I. Mbenza,226.0
3469,A. Castro,222.0
3470,O. Nyland,159.0
3471,M. Iori,206.0
3472,D. Pavelka,195.0
3473,R. Keogh,178.0
3474,Adrián Burnabão,199.0
3475,F. Sammaritano,217.0
3476,J. Fernández,245.0
3477,Munir,152.0
3478,J. Nieto,222.0
3479,Carlos Fernández,187.0
3480,S. Mosquera,230.0
3481,J. Pereira,146.0
3482,Jorge Carvallinho,176.0
3483,R. Řezník,220.0
3484,Y. Mulumbu,193.0
3485,A. Esswein,223.0
3486,L. Boyé,211.0
3487,J. van Overeem,225.0
3488,M. Mahi,226.0
3489,D. Henderson,174.0
3490,I. Lewczuk,173.0
3491,F. Kroos,205.0
3492,F. Quignon,212.0
3493,D. N'Dinga,208.0
3494,Welinton,173.0
3495,L. Jiménez,203.0
3496,N. Mushekwi,205.0
3497,J. Jugas,183.0
3498,Claiton,178.0
3499,G. Zusi,203.0
3500,J. Mauri,232.0
3501,L. Sigali,185.0
3502,I. Seck,146.0
3503,D. Gonzo,236.0
3504,Su Boyang,131.0
3505,L. Caldirola,174.0
3506,G. Hauche,250.0
3507,B. Hrgota,214.0
3508,D. Morales,211.0
3509,M. Milligan,201.0
3510,D. Čop,205.0
3511,A. Andrade,223.0
3512,F. Ricci,226.0
3513,A. Ömür,221.0
3514,M. Erdinç,208.0
3515,D. Zabala,211.0
3516,R. Canouse,205.0
3517,A. Hoffmann,176.0
3518,J. Mattheij,152.0
3519,M. Sprocati,216.0
3520,J. Torres Nilo,218.0
3521,D. Kombarov,223.0
3522,R. Métanire,221.0
3523,João Schmidt,186.0
3524,H. Palacios,228.0
3525,Gao Lin,214.0
3526,A. Gerndt,226.0
3527,H. Bandé,237.0
3528,E. Jakupović,140.0
3529,L. Ardente,107.0
3530,S. Koç,230.0
3531,E. Andersen,230.0
3532,E. Insúa,208.0
3533,Simy,196.0
3534,G. Angella,137.0
3535,Felipe,214.0
3536,J. Correa,198.0
3537,F. Coloccini,175.0
3538,S. Frei,165.0
3539,F. Ceravolo,218.0
3540,F. Eboa Eboa,194.0
3541,A. Abedzadeh,151.0
3542,S. Gustafson,205.0
3543,A. Tello,234.0
3544,O. Hurmacı,216.0
3545,R. Gutiérrez,196.0
3546,N. Murru,219.0
3547,W. Zimmerman,163.0
3548,G. Lanaro,161.0
3549,I. Canuto,171.0
3550,S. Nakamura,183.0
3551,Vasco Fernandes,199.0
3552,Luís Leal,219.0
3553,M. González,203.0
3554,J. Barreiro,208.0
3555,Clayton Fildeiras,214.0
3556,N. Mazraoui,234.0
3557,Bruno Uvini,125.0
3558,R. Sigurjónsson,198.0
3559,P. Arriola,230.0
3560,E. Buendía,215.0
3561,G. Gillet,193.0
3562,B. Méndez,199.0
3563,A. Briseño,195.0
3564,S. Sáez,213.0
3565,F. Zuqui,218.0
3566,R. Lamah,247.0
3567,Paulao Junqueiras,144.0
3568,G. Escobar,219.0
3569,S. Żurkowski,220.0
3570,Diego Ângelo,128.0
3571,M. Johansson,235.0
3572,O. John,217.0
3573,Filipe Augusto,212.0
3574,F. Lértora,193.0
3575,A. Barboza,143.0
3576,T. Savanier,242.0
3577,Daniel Guimarães,176.0
3578,E. Ofori,233.0
3579,E. Karaca,247.0
3580,D. Di Gennaro,212.0
3581,B. Ketkeophomphone,229.0
3582,A. Henríquez,211.0
3583,F. Angileri,222.0
3584,A. Matri,205.0
3585,D. Banguero,205.0
3586,Nilsito Vilela,230.0
3587,Canella,219.0
3588,M. Pérez García,228.0
3589,A. Khubulov,224.0
3590,A. Costa,205.0
3591,A. Morales,220.0
3592,S. Longo,222.0
3593,L. Höler,205.0
